"id","part","chapter_no","chapter_title","title","place","year","quote","quote_source","caption","media","status"
"w016","One","5","Connecticut, His Boys","His boys in New Canaan","New Canaan, Connecticut","","When we moved back from Australia, we landed in New Canaan, Connecticut. And just like everywhere else, Walker immediately had a close group of friends.","Chapter Five","Walker's New Canaan friends, at the house and around town.","Walker's New Canaan Crew.HEIC|Walker and friends Smith Ridge Basement.JPG|Walker NC Saxe Middle School friends.JPG|Walker and friends in NC bonfire.jpg","ready"
"w017","One","5","Connecticut, His Boys","Back to football with the Rams","New Canaan, Connecticut","","After his rugby career in Australia, Walker loved returning to American football. He found a real sense of self in coming back to the game he'd grown up loving. And he was good, a starter, and a captain on his team.","Chapter Five","Game footage and photographs from Walker's football years in New Canaan.","Walker 73 Lead Blocker.MOV|Walker Backfield Tackle_NC Rams.mov|Walker_New Canaan_Tackle.MOV|Walker NC Rams 2019 Team Captains.JPG|Walker runs on the field for NC Rams.JPG","ready"
"w018","One","6","Walker and His Family","Wrestling his brothers","","","They wrestled endlessly. In the last couple of years Walker had gotten big enough to actually win, and he'd pin his older brother and simply refuse to let go, grinning the whole time, driving Porter crazy and loving every second of it.","Chapter Six","Walker wrestling Carter and Porter, including the $5 wrestle.","Walker and brothers $5 wrestle.MOV|Walker and Carter_Let's get sweaty.MOV|Walker and brothers wrestle_NC.MOV|Walker and bros wrestling.JPG","ready"
"w019","One","6","Walker and His Family","The video he made for Hattie","","","Walker and his sister Hattie shared something especially tender. While Hattie was away serving her mission, Walker sat down and recorded a video telling her exactly why he loved her.","Chapter Six","The video Walker recorded for Hattie while she was serving her mission.","Walker Why I Love Hattie While she was on her mission.mov","ready"
"w020","One","6","Walker and His Family","I love you, Mom","Highland, Utah","","He stopped. He stood there in the doorway, keys in hand, his friends all around him, and said it again. ""I love you, Mom.""","Chapter Six","Walker with his mother.","Walker and Tamara Beach Hug.jpg|Walker and Tamara Beach hug 2.jpg|Walker hugs his mother Carrum Downs Beach.JPG|Walker Snuggles Mom on Couch NC Smith Ridge.JPG","ready"
"w021","One","6","Walker and His Family","Belle and Patricia","","","That is the picture of Walker I hold onto: a boy on a couch, taking a panda named Patricia completely seriously, because the sister he loved did.","Chapter Six","Isabel with her pandas, and a panda drawing of hers.","Belle with Pandas 1.HEIC|Belle with Pandas 2.HEIC|Belle Pandas 3.HEIC|Belle's Panda Drawing.JPG","ready"
"w022","One","7","Utah, Coming Home","I got this, Dad","Highland, Utah","","I started to say one more thing, and Walker cut me a cool, sly side-eye and, under his breath, said, ""I got this, Dad.""","Chapter Seven","Walker in his Lone Peak football gear.","Walker LP Knights.JPG|Walker LP Knights field pic.JPG|Walker Lone Peak Football with TL.JPG|Walker and Dad after Football Game LPHS.JPG","ready"
"w023","One","7","Utah, Coming Home","Tess reads her poem","Highland, Utah","2021","She dated it October 22, 2021, and she titled it ""Connection.""","Chapter Seven","Tess Morris reading her poem ""Connection"" on video. Included with her permission.","Walker_Connection by Tess Morris.MOV","ready"
"w024","Two","8","The Christmas House","Seventeen inches overnight","Alpine, Utah","2016","My wife loves snow. And the day we moved in for our month-long lease, December of 2016, a storm rolled through and left 17 inches of fresh snow on the deck in a single night.","Chapter Eight","A photograph of the Christmas House. Not yet in the archive.","","needs-media"
"w025","Two","9","The Dream Home","The house built for the gatherer","Alpine, Utah","","It was, in every square foot, a house built for the boy who loved to bring people together.","Chapter Nine","Plans or photographs of the basement designed for Walker. Not yet in the archive.","","needs-media"
"w026","Two","10","The Day","The last words at the door","","","That morning, I said it back. It was the last thing I ever said to my son, and it was exactly the right thing.","Chapter Ten, in Tamara's words","","","ready"
"w027","Three","11","The Fog","It sounds like somebody else is listening","Salt Lake City, Utah","2022","Sister Clayton turned back to me with a knowing look. ""Well,"" she said, ""it sounds like somebody else is listening.""","Chapter Eleven","The family at the live recording of Music and the Spoken Word at Temple Square.","Walker Family at the Mormon Tab Practice.HEIC","ready"
"w028","Three","13","The Three Miracles","Elder Holland at the funeral","","2022","And then he turned to something far more serious, something I will carry for the rest of my life. Of Walker's passing, he said: ""This is not tragic. It's very, very sad. It's very disappointing, but it's not tragic. Tragedies have terrible endings, and this has a perfect ending.""","Chapter Thirteen","Rob with Elder Jeffrey R. Holland, and Elder Holland at the funeral service.","Walker me with Elder Holland 1.JPG|Walker me with Elder Holland2.JPG|Walkers funeral Elder Holland 1.JPG|Walkers funeral Elder Holland 2.JPG|Walkers funeral Elder Holland 3.JPG","ready"
"w029","Three","13","The Three Miracles","Caitlin Anderson's sketch","","","Weeks later, a sketch arrived at our home from a young woman we did not even know, Caitlin Anderson, who had felt inspired to draw the very scene that had been revealed to us: our boy, gathered into the arms of his Savior. She had no earthly way of knowing what we had been shown.","Chapter Thirteen","Caitlin Anderson's drawing of the Savior receiving Walker. Not yet in the archive.","","needs-media"
"w030","Three","14","Back-to-Back Great Days","March 4th and March 5th","","2022","Our daughter Hattie was married on March 4th, which also happens to be my birthday. And Walker passed away almost exactly 24 hours later, at around 11 o'clock in the morning on March 5th.","Chapter Fourteen","Walker at Hattie's wedding at the Mount Timpanogos Temple.","Walker Hattie Wedding shot at Mt Timp Temple.JPG|Walker and Hattie Mt Timp Temple.JPG|Walker on Hatties Wedding Day with all his brothers.jpg","ready"
"w031","Three","16","The Night I Stayed Awake","The last family picture","","2022","Instead, on the very last full day of his life on this earth, we were handed a complete family portrait, perfectly timed. All of us, together, one day before he passed, captured by a Father who already knew what the next morning would hold when we did not.","Chapter Sixteen","The family photograph taken at Hattie's wedding, one day before the accident.","Walker and Family at Hatties Wedding.jpg","ready"
"w032","Three","16","The Night I Stayed Awake","The Scout","","2022","It was a 1977 International Scout, and if you have never seen one, picture an old-school Bronco: clean, square body lines, very little rust, sitting up high on big tires, with a row of floodlights across the top. It was tattered and a little disheveled, and that was exactly what Walker loved about it.","Chapter Sixteen","Walker's 1977 International Scout, including the day it was loaded up in Wyoming.","Walker 77 Scout 1.HEIC|Walker 77 Scout 2.HEIC|Walkers 77 Scout getting loaded in WY.HEIC|Walker and bros with new scout.JPG|Walker Photos to be Printed/11x17 Scout.JPG","ready"
"w033","Three","16","The Night I Stayed Awake","The music at the funeral","","2022","And then there was the music. The songs were sung so beautifully, and carried such a spirit of love, that they became their own witness in the room.","Chapter Sixteen","Video of family and cousins singing for the funeral service, including practice recordings.","Walker Kissy and Sarah Sing for Funeral.MOV|Walker Cousins Sing for Funeral.MOV|Walker Healer by Justin Miskin.MOV|Walker Justin practicing Healer for the funeral service.MOV|Walker Smoother Stone with Kellen Miskin (Aunt) Sarah Bills and Justin Miskin  cousins).MOV|Walker Quiet Place with Keleen Miskin (Aunt), Sarah Bills (cousin) and Kelsey Johnson (sister).MOV","ready"
"w034","Three","16","The Night I Stayed Awake","Peace in Christ","","2022","The song was ""Peace in Christ."" 500 voices, lifting that hymn into the night air, singing it directly to our family, and to Walker.","Chapter Sixteen","Video of roughly 500 people singing outside the house in the rain, filmed by the Shamy family.","Walker_Peace in Christ Vigil_500 people in the rain.mov|Walker Lights_Peace in Christ 1.MOV|Walker Lights_Peace in Christ 2.MOV","ready"
"w035","Three","16","The Night I Stayed Awake","The haka in the parking lot","","2022","There had to be close to a hundred of them. And as Walker's casket was carried out and lifted into the hearse by his own dear friends, all of those people began to perform the haka for him.","Chapter Sixteen","The haka performed in the church parking lot at the end of the funeral service.","Walker Funeral Haka.MOV|Walker Funeral Service Haka 1.MOV|Walker After the funeral in the parking lot 1.HEIC|Walker After the funeral in the parking lot 2.HEIC","ready"
"w036","Three","17","Love Like Walker","What it means to love like Walker","Alpine, Utah","2022","In the days after we lost him, about 20 of Walker's high school friends gathered at Bishop Jordan's house. Out on his back deck, with the mountains of Alpine, Utah rising in the background, we filmed each of them answering a single question: What does it mean to love like Walker?","Chapter Seventeen","Walker's friends answering the question on camera, plus the Love Like Walker EFY video.","Love Like Walker Videos/Walker Tess 1 #LLW.MOV|Love Like Walker Videos/Walker Carlos 1 #LLW.MOV|Love Like Walker Videos/Walker Ava 1 #LLW.MOV|Love Like Walker Videos/Walker Annie 1 #LLW.MOV|Love Like Walker Videos/Walker Austin #LLW.MOV|Love Like Walker Videos/Walker Jaxon #LLW.MOV|Love Like Walker Videos/Walker Kira #LLW.MOV|Love Like Walker Videos/Walker Logan 1 #LLW.MOV|Love Like Walker Videos/Walker Mariah 1 #LLW.MOV|Love Like Walker Videos/Walker Dillon #LLW.MOV.MOV|Love Like Walker Videos/Walker Dean and Lleyton 1 #LLW.MOV|Love Like Walker Videos/Walker Livi and Sarah #LLW.MOV.MOV|Love Like Walker Videos/Love Like Walker EFY.mp4","ready"
"w037","Three","17","Love Like Walker","Breakfast burritos","Alpine, Utah","","She gave me a half-smile. ""When the house is done,"" she said, ""you're going to pay us with slumber parties and breakfast burritos.""","Chapter Seventeen","Walker's friends on the day they came to help clean the house. Most of them stayed nine hours.","Walker's friends came to clean the house and most stayed for 9 hours.HEIC|Walkers friends that came to help me clean the house.HEIC","ready"
"w038","Three","18","What His Siblings Remember","New Zealand with Hattie","New Zealand","","When we went on that trip to New Zealand, Walker and I took so many pictures together. I love how willing he was to just take selfies with me all over the place: in the car, in the helicopter, at the tree-climbing place, at the house, on the beach.","Chapter Eighteen, in Hattie's words","Walker and Hattie together on the New Zealand trip.","Walker and Hattie Helicopter NZ.jpg|Walker and Hattie Tree Climb NZ.jpg|Walker and Hattie NZ Hiking .JPG|Walker and Hattie in Cave NZ.JPG|Walker and hattie in NZ.JPG|Walker and Hattie NZ10.JPG","ready"
"w039","Three","18","What His Siblings Remember","The last hug","","2022","And then he hugged me. That was our last hug. I am grateful that I can pinpoint that exact moment, and hold onto it.","Chapter Eighteen, in Hattie's words","Walker and Hattie on her wedding day, March 4th.","Walker and Hattie on Wedding Day 2.JPG|Walker and Hattie Wedding day.jpg","ready"
"w040","Three","","I Command Your Body to Heal","I command your body to heal","Logan, Utah","","I managed to get just my fingertips onto the top of her head, and there Bruce and I gave her a blessing. During that blessing, I remember saying, ""I command your body to heal."" I do not remember a single other word of it. Only that phrase.","I Command Your Body to Heal","A photograph of Isabel from that time. Not yet in the archive.","","needs-media"
"w041","Three","20","The People I Have Lost","Jason Hall","","","My wife's cousin, Jason Hall, was a fantastic human being. When he was 15, vacationing at Lake Powell here in Utah, he ran down a sand dune and dove into the lake, and struck a shallow sandbar.","Chapter Twenty","Photographs from Jason Hall's funeral service.","Walker Jason Hall funeral 1.HEIC|Walker Jason Hall funeral 2.HEIC|Walker Jason Hall funeral 3.HEIC","ready"
"w042","Three","20","The People I Have Lost","Arthur Pokere","Auckland, New Zealand","","Arthur Pokere was a dear friend we met while living in Australia, though he was originally from New Zealand. We grew close, close enough that one of his final requests, as he battled cancer, was that my wife would speak at his funeral.","Chapter Twenty","Rob with Arthur Pokere.","Walker me and Arthur Pokeri.JPG","ready"
"w043","Three","20","The People I Have Lost","My brother Lee","","","My brother, Lee McFadden, passed away 9 years ago. He died of a glioblastoma, a tumor in his brain, and it was a sad, sad day when we lost him.","Chapter Twenty","Lee McFadden, and his gravesite near Walker's.","Walker me, lee and bev.JPG|Walker pic of me bev and lee.JPG|Walker Lee and Mamasita.HEIC|Walker Lee's gravesite 1.HEIC|Walker Lee's gravesite 2.jpg|Walker Lee's gravesite 3.jpg","ready"
"w044","Four","21","What He Is Doing Now","The shape of the promise","","","That is not how it has unfolded. It is unfolding another way, quieter, and I think greater: through his story.","Chapter Twenty-One","Tamara teaching at EFY, one of the places she has told Walker's story.","Walker Tamara teaching at EFY.JPG","ready"
"w045","Four","22","The Next Chapter","Walker's Homecoming","","","More than 70 friends and family came to remember Walker and to light his light. We cried, and we laughed, and we remembered. It was a good day.","Chapter Twenty-Two, in Tamara's words","Friends and family gathering on March 5th to light his light.","Walker Memorial Lights.MOV|Walker Memorial Lights 2.MOV|Walker Memorial Gathering.MOV|Walker Gathering for lights 20.JPG|Walker Gathering for lights 21.JPG","ready"
